               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.086865,             0.12883,                   0,            0.024616,             0.78571,            0.024876,           0.0065861,            0.074487,             0.13869,                   0,          0.00074593,          0.00074593,            0.093046
                  39,            0.091297,             0.13223,                   0,            0.025189,             0.85714,            0.025065,           0.0067704,            0.074026,             0.13939,                   0,          0.00076401,          0.00076401,            0.092864
                  40,            0.088642,             0.16387,                   0,            0.024667,             0.88095,            0.025182,           0.0063758,            0.073269,             0.14052,                   0,          0.00078199,          0.00078199,            0.092682
                  41,            0.085157,             0.12801,                   0,            0.024667,             0.88095,            0.027504,           0.0066842,            0.072294,             0.14197,                   0,          0.00079987,          0.00079987,              0.0925
                  42,             0.08899,             0.13008,                   0,            0.025333,             0.90476,            0.026428,            0.006637,            0.071588,             0.14303,                   0,          0.00081764,          0.00081764,            0.092318
                  43,            0.089938,               0.124,                   0,            0.025333,             0.90476,            0.028433,           0.0069907,            0.071135,             0.14372,                   0,          0.00083531,          0.00083531,            0.092135
                  44,            0.088238,              0.1423,                   0,            0.025333,             0.90476,             0.02592,           0.0060826,            0.070721,             0.14433,                   0,          0.00085287,          0.00085287,            0.091953
                  45,            0.091786,              0.1639,                   0,            0.025333,             0.90476,            0.027659,           0.0065878,            0.070893,             0.14403,                   0,          0.00087033,          0.00087033,             0.09177
                  46,            0.087546,             0.12543,                   0,            0.025333,             0.90476,            0.026009,            0.006066,            0.070726,             0.14425,                   0,          0.00088767,          0.00088767,            0.091588
                  47,            0.089059,             0.12207,                   0,               0.026,             0.92857,            0.026805,           0.0061738,            0.070362,             0.14481,                   0,           0.0009049,           0.0009049,            0.091405
                  48,            0.091796,             0.16433,                   0,               0.026,             0.92857,            0.028305,           0.0066222,            0.070496,             0.14458,                   0,          0.00092201,          0.00092201,            0.091222
                  49,            0.091379,             0.13955,                   0,            0.024667,             0.88095,            0.025917,           0.0061196,            0.070865,             0.14399,                   0,            0.000939,            0.000939,            0.091039
                  50,            0.087936,             0.15861,                   0,            0.025333,             0.90476,            0.026162,           0.0061901,            0.070949,             0.14383,                   0,          0.00095587,          0.00095587,            0.090856
                  51,            0.083924,             0.12927,                   0,            0.026696,             0.66667,            0.025867,           0.0062267,             0.07077,             0.14407,                   0,          0.00097263,          0.00097263,            0.090673
                  52,            0.090858,             0.15195,                   0,             0.02545,             0.88095,            0.026825,           0.0066623,            0.071034,             0.14364,                   0,          0.00098925,          0.00098925,            0.090489
                  53,            0.091743,             0.15195,                   0,             0.02507,             0.88095,            0.027339,           0.0063816,            0.071415,             0.14306,                   0,           0.0010058,           0.0010058,            0.090306
                  54,            0.087074,             0.13593,                   0,            0.025592,             0.90476,            0.028296,           0.0066116,            0.071551,             0.14285,                   0,           0.0010221,           0.0010221,            0.090122
                  55,            0.089964,              0.1448,                   0,            0.024768,             0.88095,            0.027319,           0.0062934,            0.071934,             0.14225,                   0,           0.0010384,           0.0010384,            0.089938
                  56,            0.089888,              0.1442,                   0,            0.024685,             0.88095,            0.027534,           0.0063696,            0.072442,             0.14149,                   0,           0.0010545,           0.0010545,            0.089754
                  57,            0.088795,             0.15701,                   0,            0.025333,             0.90476,             0.02963,           0.0068644,            0.072839,             0.14089,                   0,           0.0010705,           0.0010705,             0.08957
                  58,            0.091034,             0.16366,                   0,            0.024667,             0.88095,            0.027917,           0.0067199,            0.073506,             0.13989,                   0,           0.0010863,           0.0010863,            0.089386
                  59,            0.089169,             0.15879,                   0,               0.024,             0.85714,            0.026303,            0.006195,            0.073951,             0.13924,                   0,            0.001102,            0.001102,            0.089202
                  60,            0.086465,             0.16245,                   0,               0.024,             0.85714,            0.028146,           0.0065363,            0.074002,             0.13917,                   0,           0.0011176,           0.0011176,            0.089018
                  61,            0.087747,             0.14605,                   0,            0.024667,             0.88095,            0.028459,           0.0065673,            0.073838,             0.13943,                   0,            0.001133,            0.001133,            0.088833
                  62,            0.087395,             0.14638,                   0,            0.025333,             0.90476,            0.028164,           0.0060853,            0.073474,             0.14001,                   0,           0.0011483,           0.0011483,            0.088648
                  63,            0.090794,             0.16901,                   0,            0.025333,             0.90476,            0.028605,           0.0063428,            0.073648,             0.13977,                   0,           0.0011634,           0.0011634,            0.088463
                  64,            0.087083,             0.14941,                   0,            0.025333,             0.90476,            0.028525,           0.0062679,             0.07383,             0.13951,                   0,           0.0011784,           0.0011784,            0.088278
                  65,             0.08725,             0.15503,                   0,            0.025333,             0.90476,            0.028791,           0.0064193,            0.073854,             0.13949,                   0,           0.0011932,           0.0011932,            0.088093
                  66,            0.090345,             0.17364,                   0,            0.025333,             0.90476,            0.028339,           0.0062309,             0.07416,             0.13905,                   0,           0.0012079,           0.0012079,            0.087908
                  67,             0.08656,             0.13922,                   0,            0.025333,             0.90476,            0.030231,           0.0067119,            0.074119,             0.13913,                   0,           0.0012224,           0.0012224,            0.087722
                  68,             0.08791,             0.14882,                   0,            0.024667,             0.88095,            0.028364,            0.006161,            0.074137,             0.13913,                   0,           0.0012368,           0.0012368,            0.087537
                  69,            0.084098,             0.12342,                   0,               0.026,             0.92857,            0.030492,           0.0065576,            0.073629,             0.13987,                   0,           0.0012511,           0.0012511,            0.087351
                  70,            0.088186,             0.17532,                   0,            0.030354,             0.71429,            0.028357,           0.0061258,            0.073375,             0.14026,                   0,           0.0012651,           0.0012651,            0.087165
                  71,            0.088194,             0.15776,                   0,            0.029902,             0.83333,            0.038424,           0.0080111,            0.073431,             0.14017,                   0,            0.001279,            0.001279,            0.086979
                  72,            0.087295,             0.15879,                   0,            0.039379,             0.14286,            0.036861,            0.008263,            0.073488,             0.14008,                   0,           0.0012928,           0.0012928,            0.086793
                  73,            0.088065,             0.15947,                   0,            0.034763,             0.16667,            0.036292,           0.0081191,            0.073569,             0.13995,                   0,           0.0013064,           0.0013064,            0.086606
                  74,            0.088569,              0.1335,                   0,             0.08273,            0.056023,             0.04099,           0.0087824,             0.07375,             0.13968,                   0,           0.0013198,           0.0013198,             0.08642
                  75,            0.083789,             0.12013,                   0,            0.044655,             0.14286,            0.038313,           0.0091859,            0.073447,             0.14011,                   0,           0.0013331,           0.0013331,            0.086233
                  76,            0.088465,             0.17188,                   0,            0.058666,             0.19048,            0.041532,           0.0091943,            0.073656,             0.13976,                   0,           0.0013462,           0.0013462,            0.086046
                  77,            0.088024,             0.17636,                   0,            0.042145,             0.14286,            0.036022,           0.0084434,            0.074036,             0.13913,                   0,           0.0013591,           0.0013591,            0.085859
                  78,            0.088395,             0.14552,                   0,            0.028778,              0.7619,            0.031744,            0.007616,            0.074192,             0.13885,                   0,           0.0013719,           0.0013719,            0.085672
                  79,            0.084243,             0.14025,                   0,            0.028572,             0.71429,            0.033622,           0.0080038,             0.07403,             0.13899,                   0,           0.0013845,           0.0013845,            0.085484
                  80,            0.087585,             0.16429,                   0,            0.029518,             0.78571,             0.03385,           0.0087365,            0.074256,             0.13859,                   0,           0.0013969,           0.0013969,            0.085297
                  81,            0.085642,             0.16528,                   0,            0.034936,             0.16667,             0.03705,           0.0096236,            0.074467,             0.13824,                   0,           0.0014092,           0.0014092,            0.085109
                  82,            0.089265,              0.1473,                   0,            0.044599,            0.095238,             0.03363,           0.0092429,            0.074707,             0.13789,                   0,           0.0014213,           0.0014213,            0.084921
                  83,            0.085127,             0.12921,                   0,             0.04025,            0.095238,            0.029903,           0.0081321,            0.074291,             0.13853,                   0,           0.0014332,           0.0014332,            0.084733
                  84,            0.082366,             0.13884,                   0,            0.028389,              0.7381,            0.029581,           0.0078092,            0.074005,             0.13892,                   0,           0.0014449,           0.0014449,            0.084545
                  85,            0.086342,             0.13541,                   0,            0.033304,             0.33333,            0.030787,           0.0073429,            0.073652,             0.13947,                   0,           0.0014565,           0.0014565,            0.084356
                  86,            0.087641,             0.14604,                   0,            0.032682,             0.33333,            0.032731,           0.0078435,            0.073708,             0.13934,                   0,           0.0014678,           0.0014678,            0.084168
                  87,            0.085528,             0.14148,                   0,            0.050299,            0.095238,            0.034484,           0.0083244,            0.073662,             0.13937,                   0,            0.001479,            0.001479,            0.083979
                  88,            0.086383,             0.16279,                   0,            0.055007,            0.095238,            0.035962,           0.0085322,            0.073624,             0.13942,                   0,           0.0014901,           0.0014901,             0.08379
                  89,            0.087335,             0.16897,                   0,            0.042229,             0.16667,            0.035889,           0.0084701,            0.073792,             0.13914,                   0,           0.0015009,           0.0015009,            0.083601
                  90,             0.08453,             0.14827,                   0,            0.044653,             0.16667,            0.035312,           0.0090465,            0.073748,             0.13924,                   0,           0.0015116,           0.0015116,            0.083412
                  91,            0.086884,             0.14118,                   0,            0.033605,             0.35714,            0.032894,           0.0081159,            0.074025,             0.13881,                   0,            0.001522,            0.001522,            0.083222
                  92,            0.084438,             0.13925,                   0,            0.035264,             0.35714,             0.03473,           0.0071446,            0.074019,             0.13876,                   0,           0.0015323,           0.0015323,            0.083032
                  93,             0.08421,             0.14047,                   0,            0.049954,             0.47619,            0.042239,           0.0091266,            0.073887,             0.13905,                   0,           0.0015424,           0.0015424,            0.082842
                  94,            0.088551,             0.13458,                   0,            0.033466,             0.80952,            0.036685,           0.0085872,            0.073795,             0.13921,                   0,           0.0015524,           0.0015524,            0.082652
                  95,            0.087905,             0.14407,                   0,            0.027515,             0.69048,            0.029154,           0.0070433,             0.07387,             0.13909,                   0,           0.0015621,           0.0015621,            0.082462
                  96,             0.08314,             0.14508,                   0,            0.030756,             0.78571,            0.033294,           0.0078237,            0.073721,             0.13931,                   0,           0.0015717,           0.0015717,            0.082272
                  97,            0.086638,             0.16419,                   0,             0.03385,             0.83333,            0.037959,           0.0085426,            0.073754,             0.13931,                   0,            0.001581,            0.001581,            0.082081
                  98,            0.085901,              0.1366,                   0,            0.035715,             0.83333,            0.038444,           0.0081174,            0.073711,             0.13937,                   0,           0.0015902,           0.0015902,             0.08189
                  99,            0.086755,             0.13578,                   0,            0.037078,             0.83333,            0.038103,           0.0080738,            0.073846,             0.13914,                   0,           0.0015992,           0.0015992,            0.081699
                 100,            0.089107,             0.13118,                   0,            0.037078,             0.83333,            0.036771,           0.0082917,             0.07383,             0.13912,                   0,            0.001608,            0.001608,            0.081508
                 101,            0.087221,             0.12593,                   0,             0.03656,             0.80952,            0.037733,            0.007892,            0.073744,              0.1392,                   0,           0.0016166,           0.0016166,            0.081317
                 102,            0.088109,             0.13478,                   0,            0.038761,             0.83333,            0.043775,           0.0089109,            0.073688,             0.13923,                   0,            0.001625,            0.001625,            0.081125
                 103,             0.08956,             0.14834,                   0,            0.036078,              0.7619,            0.057204,            0.011369,            0.073779,             0.13905,                   0,           0.0016333,           0.0016333,            0.080933
                 104,            0.084116,             0.13961,                   0,              0.1472,             0.14286,            0.068481,            0.012612,             0.07382,             0.13894,                   0,           0.0016413,           0.0016413,            0.080741
                 105,            0.087997,             0.14394,                   0,            0.053657,             0.36587,             0.04927,           0.0099537,             0.07348,             0.13945,                   0,           0.0016492,           0.0016492,            0.080549
                 106,            0.083485,             0.14529,                   0,            0.055678,             0.38095,            0.047613,             0.01002,            0.073403,             0.13952,                   0,           0.0016568,           0.0016568,            0.080357
                 107,            0.085147,             0.14566,                   0,            0.055678,             0.38095,              0.0473,            0.010852,            0.073314,             0.13963,                   0,           0.0016643,           0.0016643,            0.080164
                 108,            0.092377,             0.16727,                   0,            0.058953,             0.40476,            0.048744,            0.011129,            0.073248,             0.13969,                   0,           0.0016716,           0.0016716,            0.079972
                 109,            0.087708,             0.12837,                   0,            0.063374,                 0.5,            0.054778,            0.012791,            0.073126,             0.13975,                   0,           0.0016787,           0.0016787,            0.079779
                 110,            0.081762,             0.16419,                   0,            0.071778,             0.57143,            0.070712,            0.015991,            0.072931,             0.13996,                   0,           0.0016856,           0.0016856,            0.079586
                 111,            0.087752,             0.13891,                   0,            0.057687,             0.45238,            0.064944,            0.016082,            0.072932,             0.13985,                   0,           0.0016923,           0.0016923,            0.079392
                 112,            0.090636,             0.15614,                   0,            0.059659,             0.48491,            0.062607,            0.013426,            0.073131,             0.13945,                   0,           0.0016988,           0.0016988,            0.079199
                 113,            0.087727,             0.14314,                   0,            0.058773,             0.59524,            0.058943,            0.012139,            0.073067,             0.13943,                   0,           0.0017051,           0.0017051,            0.079005
                 114,            0.084555,              0.1324,                   0,            0.053742,             0.52381,             0.05641,            0.011462,            0.072988,             0.13955,                   0,           0.0017112,           0.0017112,            0.078811
                 115,             0.08569,             0.13304,                   0,            0.053319,             0.54762,            0.054713,            0.011635,            0.073078,             0.13941,                   0,           0.0017171,           0.0017171,            0.078617
                 116,            0.086616,             0.14153,                   0,            0.071549,              0.2381,              0.0643,            0.013049,            0.073214,             0.13918,                   0,           0.0017229,           0.0017229,            0.078423
                 117,             0.08585,             0.15028,                   0,            0.070686,             0.28571,            0.058014,            0.012875,            0.073137,             0.13927,                   0,           0.0017284,           0.0017284,            0.078228
                 118,            0.086043,             0.13728,                   0,            0.066407,             0.30952,            0.055737,            0.012101,            0.073052,             0.13938,                   0,           0.0017338,           0.0017338,            0.078034
                 119,            0.085861,             0.13696,                   0,            0.076185,             0.33333,            0.062467,              0.0135,            0.073007,             0.13932,                   0,           0.0017389,           0.0017389,            0.077839
                 120,            0.087117,             0.14788,                   0,            0.055415,             0.71429,            0.057833,            0.012523,             0.07301,             0.13928,                   0,           0.0017439,           0.0017439,            0.077644
                 121,            0.087333,             0.16617,                   0,            0.077031,             0.30952,            0.064562,            0.014156,             0.07299,              0.1392,                   0,           0.0017487,           0.0017487,            0.077449
                 122,            0.085645,             0.14173,                   0,            0.075247,             0.30952,            0.060335,            0.013519,            0.072954,             0.13925,                   0,           0.0017533,           0.0017533,            0.077253
                 123,            0.087042,             0.14374,                   0,            0.072962,             0.33333,            0.069258,            0.013833,            0.072952,             0.13925,                   0,           0.0017576,           0.0017576,            0.077058
                 124,            0.085108,             0.14298,                   0,            0.073131,             0.30952,            0.070348,             0.01365,             0.07298,             0.13918,                   0,           0.0017618,           0.0017618,            0.076862
                 125,            0.085027,             0.13981,                   0,            0.050186,             0.52381,            0.062666,            0.014112,            0.072842,             0.13935,                   0,           0.0017659,           0.0017659,            0.076666
                 126,            0.082452,             0.13925,                   0,            0.061934,             0.54762,            0.068234,            0.017226,            0.072406,             0.13997,                   0,           0.0017697,           0.0017697,             0.07647
                 127,            0.086928,             0.16524,                   0,            0.060635,             0.50872,            0.066051,            0.015364,            0.072399,             0.13991,                   0,           0.0017733,           0.0017733,            0.076273
                 128,            0.083791,              0.1277,                   0,            0.058757,             0.45238,            0.070157,             0.01538,            0.072331,             0.13992,                   0,           0.0017767,           0.0017767,            0.076077
                 129,            0.084787,             0.14585,                   0,             0.10992,             0.14286,            0.071468,             0.01496,             0.07221,             0.13999,                   0,             0.00178,             0.00178,             0.07588
                 130,            0.085752,             0.14963,                   0,             0.11045,             0.16667,             0.07304,            0.015584,            0.072123,             0.14002,                   0,           0.0017831,           0.0017831,            0.075683
                 131,            0.084878,             0.15091,                   0,            0.099056,             0.19048,            0.065025,             0.01439,            0.072107,              0.1399,                   0,           0.0017859,           0.0017859,            0.075486
                 132,            0.083706,             0.12825,                   0,            0.048672,             0.45238,            0.061514,            0.013337,            0.071785,             0.14023,                   0,           0.0017886,           0.0017886,            0.075289
                 133,            0.088199,             0.15112,                   0,            0.091032,             0.19048,            0.063266,            0.013387,            0.071872,             0.13988,                   0,           0.0017911,           0.0017911,            0.075091
                 134,            0.089252,             0.16195,                   0,            0.077042,             0.18488,             0.05941,            0.012742,            0.072026,             0.13948,                   0,           0.0017934,           0.0017934,            0.074893
                 135,            0.088888,             0.14726,                   0,            0.074359,             0.19048,            0.058832,            0.012692,            0.072219,             0.13904,                   0,           0.0017956,           0.0017956,            0.074696
                 136,            0.087166,             0.13893,                   0,            0.058027,             0.54762,            0.055447,            0.012133,            0.072473,             0.13849,                   0,           0.0017975,           0.0017975,            0.074498
                 137,            0.084037,             0.14006,                   0,            0.055928,             0.52381,            0.054814,            0.012346,            0.072642,             0.13809,                   0,           0.0017993,           0.0017993,            0.074299
                 138,            0.085003,             0.13862,                   0,            0.075894,             0.21429,            0.056076,            0.012315,            0.072841,              0.1378,                   0,           0.0018009,           0.0018009,            0.074101
                 139,            0.087387,             0.13907,                   0,             0.06311,             0.19048,            0.055646,            0.012476,            0.073104,             0.13743,                   0,           0.0018023,           0.0018023,            0.073902
                 140,            0.084559,             0.16537,                   0,             0.06311,             0.19048,            0.052472,             0.01136,            0.073408,             0.13681,                   0,           0.0018035,           0.0018035,            0.073703
                 141,            0.086913,             0.14522,                   0,            0.045163,             0.83333,            0.050775,            0.011457,            0.073528,              0.1366,                   0,           0.0018045,           0.0018045,            0.073505
                 142,             0.08672,             0.14448,                   0,            0.073108,             0.11905,            0.051827,            0.011688,             0.07375,             0.13622,                   0,           0.0018054,           0.0018054,            0.073305
                 143,            0.086669,             0.15062,                   0,            0.070263,             0.11905,            0.058125,            0.012556,            0.073952,             0.13579,                   0,           0.0018061,           0.0018061,            0.073106
                 144,            0.085757,             0.16008,                   0,            0.057201,             0.42857,            0.063756,            0.013281,            0.074173,             0.13524,                   0,           0.0018066,           0.0018066,            0.072907
                 145,            0.085413,             0.13686,                   0,            0.072588,              0.2381,            0.065869,            0.014066,            0.074395,             0.13472,                   0,           0.0018069,           0.0018069,            0.072707
                 146,            0.085236,             0.14383,                   0,            0.069988,              0.2381,              0.0707,            0.014356,            0.074503,             0.13433,                   0,           0.0018071,           0.0018071,            0.072507
                 147,            0.084429,             0.15433,                   0,            0.091322,             0.30392,            0.079229,            0.016068,            0.074711,             0.13379,                   0,           0.0018071,           0.0018071,            0.072307
                 148,            0.088615,              0.1329,                   0,            0.092177,             0.33333,            0.081691,            0.016948,            0.074876,             0.13334,                   0,           0.0018069,           0.0018069,            0.072107
                 149,            0.083135,             0.12675,                   0,            0.073464,             0.71429,            0.073636,            0.015405,            0.074555,             0.13363,                   0,           0.0018065,           0.0018065,            0.071907
